age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
30,13,1,1,0,0,65,0
40,10,0,1,0,0,38,1
40,10,1,0,0,0,40,0
30,10,0,1,0,0,45,0
40,4,1,1,0,0,40,1
30,10,1,1,0,0,42,1
30,9,0,1,0,0,40,0
40,13,1,0,0,0,40,0
50,13,1,0,0,0,50,0
30,14,1,0,0,0,50,0
50,16,1,1,0,0,1,1
30,10,0,0,0,0,28,0
20,10,1,1,0,0,40,0
40,13,0,1,0,0,40,0
40,10,1,1,0,0,45,0
40,13,1,1,0,0,24,0
20,3,1,1,0,0,40,0
30,10,1,1,0,0,40,0
40,14,1,0,14084,0,55,1
30,14,1,1,7298,0,40,1
20,9,1,1,0,0,40,0
20,14,1,0,0,1876,40,0
19,9,1,1,0,0,40,0
50,13,1,1,0,0,50,1
40,10,1,0,0,1340,40,0
30,9,1,0,0,0,35,0
18,7,1,0,0,0,40,0
30,13,0,1,7298,0,36,1
30,9,1,1,0,0,60,0
50,9,1,0,15024,0,35,1
17,7,1,0,0,0,12,0
40,9,0,1,0,0,40,0
30,9,1,1,0,0,40,1
30,10,0,0,0,0,40,0
60,9,0,1,0,0,40,0
50,4,1,1,0,0,40,1
30,13,0,1,0,0,60,1
50,12,1,0,0,0,40,0
30,13,1,1,0,0,50,0
40,13,1,1,0,0,55,0
20,6,1,1,0,0,40,0
30,10,1,1,0,0,40,0
60,2,1,1,0,0,40,0
70,9,0,1,0,2206,40,0
50,9,0,1,0,0,20,0
50,1,1,0,0,0,35,0
18,9,1,0,0,0,40,0
60,6,0,0,0,0,10,0
60,9,1,1,1409,0,50,0
70,11,1,0,0,0,20,0
60,9,1,0,0,0,40,0
30,7,0,1,3674,0,40,0
40,9,0,0,0,0,38,0
20,10,1,1,0,0,42,0
30,10,0,0,0,0,40,0
20,15,1,1,0,0,55,1
50,9,1,1,0,0,40,0
40,10,1,0,0,0,38,0
40,13,1,1,0,0,50,1
30,14,1,1,0,0,70,1
20,9,1,1,0,0,40,0
40,13,1,1,0,0,40,1
40,9,1,0,0,0,20,0
20,12,1,1,0,0,50,0
20,10,1,1,0,0,20,0
30,10,1,1,0,1741,40,0
50,9,1,1,0,0,35,0
50,9,1,1,0,0,45,1
30,9,1,0,0,0,34,0
40,12,1,1,0,1977,60,1
40,9,1,1,0,0,40,0
40,15,1,0,0,0,40,1
40,13,0,0,0,0,40,0
50,6,0,0,0,0,30,0
19,10,1,1,0,0,40,0
50,10,1,1,0,0,20,0
40,9,0,1,0,0,40,1
20,9,1,0,0,0,40,0
30,9,1,0,0,0,30,0
40,11,1,0,0,0,45,0
50,4,1,1,0,0,40,0
30,13,1,0,0,0,40,0
40,9,1,1,0,0,60,0
17,7,1,1,0,0,12,0
50,10,1,1,4064,0,40,0
20,7,1,1,0,0,40,0
30,10,0,1,0,0,75,1
19,10,1,1,0,0,24,0
60,9,1,1,0,0,40,1
30,13,1,0,0,0,45,0
30,9,1,0,0,0,40,1
60,9,1,1,0,0,40,1
17,5,1,1,1055,0,24,0
50,14,1,1,2407,0,98,0
20,14,1,1,0,0,35,0
30,9,1,0,0,0,40,0
40,9,0,1,0,0,40,0
40,10,1,1,7298,0,40,1
30,10,1,0,0,0,40,0
20,10,1,0,0,0,40,0
20,10,1,0,7298,0,48,1
20,13,1,0,0,0,15,0
40,10,1,1,5178,0,40,1
30,12,0,0,0,0,45,0
60,13,1,0,0,0,42,0
20,9,1,1,0,0,40,0
50,14,1,1,15024,0,40,1
40,15,1,1,0,0,60,1
50,10,1,1,0,0,45,0
20,13,1,0,0,0,40,0
50,4,1,1,0,0,40,0
30,13,1,1,0,0,45,0
30,9,1,0,0,0,40,0
20,13,1,1,0,0,56,0
20,10,1,1,0,0,45,0
20,13,0,0,0,0,40,0
60,9,1,1,0,0,16,0
30,13,1,0,0,0,60,0
30,14,0,0,3464,0,40,0
20,9,1,1,0,0,40,0
30,9,1,1,0,0,80,0
40,13,1,1,7688,0,40,1
20,10,0,0,0,0,25,0
30,9,1,1,0,0,45,1
50,9,1,1,4386,0,40,1
20,10,0,0,0,0,40,0
40,9,1,0,0,0,40,0
20,12,1,1,0,0,45,0
40,12,1,0,0,0,33,0
30,12,1,1,0,0,40,1
40,10,1,1,0,0,54,1
20,13,1,1,0,0,40,0
30,14,0,1,7298,0,35,1
19,10,0,0,0,0,25,0
30,13,0,0,0,0,40,1
20,10,1,1,0,0,15,0
20,10,1,1,0,0,40,0
70,10,1,1,0,0,40,0
20,3,1,0,0,0,40,0
20,10,1,0,0,0,40,0
60,9,1,0,0,0,24,0
30,9,1,1,0,0,40,0
40,10,1,1,0,1485,50,0
30,9,1,1,0,0,45,0
20,7,1,0,0,0,40,0
70,14,1,1,0,0,10,0
60,9,1,1,0,0,45,0
20,11,0,0,0,0,15,0
40,10,1,0,0,1887,50,1
50,9,1,1,0,0,40,0
60,9,1,1,2050,0,55,0
40,10,0,1,0,0,45,0
20,13,1,1,0,0,40,0
40,11,1,1,0,0,40,0
50,6,1,1,0,0,40,0
50,9,1,1,0,0,40,0
17,3,1,1,0,0,48,0
30,9,1,1,0,0,40,0
40,14,1,1,0,0,60,0
19,9,0,1,0,0,30,0
40,9,0,1,0,0,40,0
20,12,1,1,0,0,40,0
30,11,1,1,7298,0,40,1
30,9,1,1,7298,0,40,1
30,9,1,1,0,0,20,0
20,10,0,0,0,0,40,0
40,13,1,1,0,0,42,0
60,7,1,1,0,0,8,0
30,11,1,0,0,0,40,0
50,12,1,1,0,0,25,0
30,13,1,1,0,0,25,0
30,13,1,1,0,0,40,1
20,9,1,1,0,0,40,0
30,13,1,1,0,0,40,1
40,7,1,1,0,0,30,0
50,13,1,1,0,0,40,1
30,9,1,1,0,0,40,1
60,7,0,1,0,0,40,0
40,11,1,1,0,0,40,1
40,9,1,0,0,0,35,0
20,5,1,1,0,0,40,0
30,6,1,0,0,0,24,0
60,14,1,1,0,0,40,1
40,13,1,1,0,0,45,0
40,13,1,1,0,1564,45,1
20,9,1,1,0,0,55,0
20,9,1,1,0,0,40,0
50,10,1,1,0,0,45,0
20,12,1,0,0,0,15,0
50,13,1,0,0,0,45,1
30,9,1,0,0,0,40,0
20,10,1,0,0,0,15,0
17,7,1,1,0,0,10,0
40,11,1,1,0,0,38,1
40,9,0,1,0,0,40,0
40,9,0,1,0,0,40,0
20,10,1,0,0,0,10,0
30,9,1,0,0,0,40,0
20,10,1,1,0,0,40,0
40,14,1,1,0,0,30,0
30,9,1,1,0,0,50,0
50,9,1,1,0,0,40,0
40,3,1,0,0,2339,45,0
20,10,1,1,0,0,40,0
40,10,1,0,0,0,40,0
30,10,1,0,0,0,40,0
20,9,1,0,0,0,25,0
20,9,1,1,0,0,40,0
40,10,1,0,0,2415,6,1
19,10,1,0,0,0,16,0
19,9,1,0,0,0,40,0
30,9,1,0,0,0,40,1
20,13,1,1,0,0,50,0
40,12,1,1,0,0,40,0
30,13,1,1,7688,0,45,1
30,9,1,0,0,0,35,0
40,10,1,1,0,0,40,0
40,10,1,0,0,0,40,0
20,9,1,0,0,0,35,0
20,13,1,1,0,0,55,1
50,13,1,1,0,0,50,1
20,10,1,1,0,0,40,0
20,10,1,0,0,0,40,0
50,13,1,1,0,0,40,1
30,11,1,0,0,0,64,0
20,4,0,1,0,2179,40,0
40,14,1,1,0,1977,65,1
20,9,1,1,0,0,40,0
40,9,1,1,0,0,25,0
20,10,1,0,0,1887,40,1
30,10,1,1,0,0,50,0
40,10,0,0,0,0,24,0
20,9,0,0,0,0,40,0
30,10,1,0,0,0,40,0
40,16,1,1,15024,0,60,1
30,10,1,1,0,0,40,0
30,8,1,1,0,0,50,1
50,2,1,1,0,0,40,0
30,7,1,0,0,0,19,0
30,7,0,1,0,0,40,0
30,9,1,0,0,0,40,0
20,10,1,1,0,0,30,0
17,7,1,1,2176,0,18,0
30,13,1,0,0,0,40,1
20,9,1,1,0,0,40,0
30,6,1,0,0,0,35,0
20,9,1,1,0,0,60,0
30,14,1,1,0,1408,40,0
20,9,1,1,0,0,72,0
60,9,1,1,0,0,40,1
40,14,1,1,0,0,40,0
70,9,1,1,0,0,24,0
17,7,1,1,0,0,40,0
40,13,1,0,2174,0,40,0
30,12,1,0,0,0,25,1
20,10,0,1,0,1980,40,0
30,14,1,1,0,0,50,1
30,9,0,1,594,0,60,0
30,10,1,0,0,0,40,0
20,10,1,1,0,0,40,0
40,10,1,0,0,0,40,0
20,13,1,1,0,0,40,0
40,9,1,0,0,0,28,0
20,9,1,1,0,0,40,0
40,10,1,1,0,0,40,1
20,5,1,1,0,0,40,0
20,10,1,1,0,0,35,0
40,9,0,0,0,0,40,0
50,9,0,1,0,0,40,0
20,9,1,1,0,0,40,0
17,7,1,0,0,0,5,0
19,9,0,0,0,0,40,0
40,10,1,1,0,0,55,1
60,9,1,1,0,0,40,1
40,12,0,1,0,0,40,1
40,9,1,0,0,0,40,1
40,11,0,1,0,0,40,1
30,9,1,0,0,0,40,0
30,10,0,1,0,0,50,0
20,9,1,1,0,0,60,0
30,10,1,1,0,0,40,0
40,12,1,1,0,0,40,0
50,9,0,1,0,0,40,0
30,13,1,1,0,0,50,0
50,2,1,1,0,0,40,0
20,13,1,0,0,0,20,0
30,9,1,0,0,0,60,0
50,9,1,1,0,0,40,0
30,10,1,1,0,0,40,0
40,14,1,1,0,1977,45,1
30,13,1,0,0,0,16,1
60,10,1,1,0,0,40,1
20,10,1,1,0,0,40,0
30,9,1,1,0,0,40,0
30,9,1,1,0,0,60,0
60,11,1,0,0,0,24,0
40,13,1,0,0,0,40,0
17,5,1,1,0,0,6,0
20,10,1,1,0,0,30,0
20,6,1,1,0,0,40,0
20,9,1,0,0,0,35,0
30,12,1,1,0,0,45,0
40,10,1,1,0,0,20,0
20,13,1,1,0,0,20,0
40,9,1,0,0,0,40,0
50,8,0,1,594,0,40,0
20,10,0,0,0,0,20,0
60,2,1,1,0,0,35,0
50,9,1,1,0,0,45,0
40,13,1,0,0,0,40,0
30,13,1,1,15024,0,60,1
40,9,1,0,0,0,35,0
40,9,1,1,0,0,40,0
30,12,1,0,0,0,60,0
30,9,1,0,0,0,25,0
30,13,1,1,0,0,20,0
40,9,1,0,0,0,36,0
20,10,1,1,0,0,40,0
20,3,1,1,0,0,40,0
20,10,1,0,0,0,35,0
70,9,1,1,0,0,20,0
20,9,1,1,0,0,40,0
60,9,1,1,0,0,40,0
50,10,1,1,0,0,40,0
50,10,1,0,0,0,42,0
20,13,1,0,0,0,40,0
20,13,0,1,0,0,40,0
19,10,1,1,0,0,8,0
40,10,1,1,0,0,40,0
40,9,0,0,0,0,40,0
30,9,1,0,0,0,40,0
40,11,1,1,0,1380,42,0
50,3,0,0,0,0,30,0
30,11,1,1,0,0,45,0
30,10,1,1,0,0,50,1
20,9,1,1,0,0,45,0
50,11,1,0,0,0,38,0
20,10,0,0,0,0,20,0
20,10,1,1,0,0,24,0
20,10,1,0,0,0,35,0
30,13,1,1,0,0,50,1
30,13,1,1,15024,0,80,1
50,9,1,1,7688,0,50,1
20,10,0,1,0,0,50,0
30,10,1,1,0,0,45,1
40,10,1,1,0,0,58,1
20,10,1,0,0,0,40,0
40,13,1,1,0,0,40,1
70,10,1,0,0,0,9,0
30,9,1,1,0,0,50,0
40,14,1,1,0,0,40,0
40,7,0,0,0,0,46,0
20,9,1,1,0,0,40,0
30,9,0,1,0,0,40,0
40,12,1,0,0,0,50,1
60,15,1,1,20051,0,48,1
30,8,1,1,0,0,50,0
50,2,0,0,0,0,30,0
20,11,1,1,0,0,40,0
30,13,1,0,0,0,45,0
30,9,0,0,0,0,40,0
40,10,1,1,0,0,40,0
20,16,1,1,0,0,40,0
30,10,1,0,0,0,40,0
20,9,1,1,0,0,40,0
20,10,1,1,0,0,50,0
30,9,1,0,0,0,45,0
50,6,1,0,0,0,8,0
30,10,1,1,0,0,40,0
20,9,1,1,0,0,36,0
20,10,1,1,0,0,40,0
40,10,1,1,0,0,50,0
30,9,1,0,0,0,40,0
70,7,1,0,0,0,40,0
30,9,0,0,0,0,40,0
30,11,0,0,0,0,40,1
60,7,1,0,0,0,40,0
30,9,1,1,0,0,40,0
30,9,1,0,0,0,20,0
30,9,1,0,0,0,32,0
30,7,1,1,0,0,40,0
20,13,1,1,0,0,55,0
50,13,1,1,0,0,35,1
40,10,1,1,0,0,50,1
20,9,0,0,0,0,40,0
50,13,1,1,0,0,60,1
20,9,0,1,0,0,48,0
40,14,1,1,5013,0,45,0
40,4,1,0,0,0,40,0
20,9,1,1,0,0,35,0
40,14,1,1,0,0,42,0
20,9,1,1,0,0,40,0
50,9,1,1,0,0,40,0
17,7,1,1,0,0,12,0
30,11,1,1,0,1977,40,1
20,16,1,0,0,0,70,0
20,13,1,1,0,0,40,1
18,8,1,1,0,0,25,0
30,12,1,0,0,0,35,0
50,13,1,0,0,0,40,0
20,10,1,1,0,0,45,0
60,10,1,1,0,0,30,1
50,9,1,1,0,0,40,1
50,9,1,1,0,0,40,0
20,9,1,1,0,0,40,0
30,13,1,1,0,0,40,0
20,10,1,0,0,0,24,0
20,10,1,1,0,0,60,0
18,7,1,1,0,0,40,0
50,6,1,1,0,1887,47,1
50,13,1,1,0,0,80,0
40,9,1,1,0,0,40,0
50,9,0,0,0,0,40,0
60,4,1,1,0,0,48,1
30,13,1,1,7688,0,40,1
20,13,1,0,0,0,40,0
20,9,1,1,0,0,40,0
20,10,0,0,0,0,25,0
40,15,1,1,0,1902,50,1
20,10,1,1,2174,0,40,0
40,13,1,0,0,0,45,0
30,13,1,1,0,0,40,0
19,10,1,1,0,0,28,0
60,4,1,0,0,0,40,0
40,5,1,1,0,0,40,0
30,12,1,1,0,0,40,0
40,9,0,0,0,0,37,0
50,14,1,1,0,0,40,1
20,9,0,1,0,0,40,0
30,9,0,1,0,0,40,0
17,6,1,0,0,0,21,0
50,14,1,0,6849,0,60,0
20,9,1,1,0,0,40,0
20,9,1,1,0,0,50,0
20,13,1,1,1055,0,40,0
20,13,1,0,0,0,20,0
30,9,1,1,0,0,60,0
30,9,0,1,0,0,45,0
50,9,1,1,0,0,32,0
50,13,1,1,0,0,55,0
40,15,1,1,15024,0,45,1
20,13,1,0,0,0,20,0
40,7,0,0,0,0,20,0
60,5,0,0,0,0,24,0
20,11,1,1,0,0,55,0
40,5,1,1,0,0,40,0
30,9,0,1,0,0,60,0
30,9,1,1,0,0,45,1
30,9,1,1,0,0,64,0
30,10,1,1,0,0,40,1
40,13,1,1,0,0,26,1
40,10,0,0,0,0,40,0
40,6,0,0,0,0,40,0
40,10,1,1,15024,0,60,1
30,13,0,0,0,0,40,1
50,9,1,1,0,0,60,0
19,9,1,0,0,0,14,0
20,13,1,1,0,0,40,0
30,13,1,1,15024,0,60,1
40,3,1,1,0,0,50,0
50,16,1,1,0,0,60,1
20,9,1,1,0,0,55,0
60,9,1,1,0,0,40,0
20,10,1,1,0,0,40,0
30,10,1,1,5178,0,50,1
30,10,1,1,0,0,45,0
50,16,1,1,0,0,40,1
30,9,1,0,0,0,40,0
70,9,1,1,0,0,15,0
50,9,1,1,0,0,50,0
30,13,1,1,0,0,40,1
20,10,1,1,0,0,20,0
20,9,1,1,4101,0,50,0
30,16,0,1,0,0,40,1
30,10,1,0,0,0,45,0
20,9,1,0,0,0,32,0
20,10,0,0,0,0,40,0
70,5,1,0,1111,0,15,0
30,9,1,1,0,0,45,0
40,4,1,1,0,0,35,0
40,9,1,1,0,0,40,1
40,8,0,1,0,0,40,1
30,14,1,1,0,0,60,0
20,10,1,1,0,0,40,0
40,14,1,1,0,0,38,0
20,10,1,0,0,0,25,0
40,12,1,0,8614,0,40,1
20,10,1,1,3411,0,40,0
40,9,0,1,0,0,40,1
20,7,0,0,0,1762,40,0
20,5,1,1,0,1721,40,0
40,10,1,1,0,0,40,0
17,7,1,0,0,0,20,0
17,7,1,1,0,0,10,0
30,13,1,1,0,0,40,1
50,9,1,1,0,0,50,1
20,9,1,0,2597,0,40,0
17,8,1,1,0,0,16,0
30,10,1,1,0,0,40,0
30,9,1,1,0,0,45,0
50,9,1,1,0,0,50,0
20,9,1,1,0,0,48,0
30,11,1,1,0,0,40,1
30,9,1,1,0,0,40,1
20,10,0,1,0,0,40,0
18,7,1,0,0,0,5,0
30,9,1,0,0,0,40,0
60,4,1,1,0,0,4,0
40,13,1,0,0,0,55,0
40,14,1,1,0,0,35,0
20,9,1,1,0,0,30,0
50,10,1,1,0,0,40,0
20,10,0,0,0,0,45,0
40,10,1,1,0,0,50,0
20,10,1,1,0,0,20,0
20,13,1,0,0,0,20,0
20,12,1,1,0,0,45,0
30,14,1,1,0,0,60,1
30,14,1,1,0,1902,40,1
30,13,1,0,0,0,40,0
19,9,1,0,0,0,20,0
30,13,1,1,0,0,50,0
30,13,1,0,0,1380,40,0
20,10,1,1,0,0,30,0
30,10,1,1,0,0,40,0
40,16,1,0,25236,0,65,1
40,13,1,0,0,0,50,1
40,8,0,1,0,0,40,0
40,10,0,1,0,0,40,0
60,9,1,1,0,0,35,0
18,7,1,1,0,0,25,0
20,13,1,1,0,0,40,0
30,10,0,0,0,0,40,0
30,13,1,1,0,0,40,0
40,11,1,1,4386,0,40,0
30,13,1,0,0,0,35,0
30,9,0,0,0,0,40,0
30,9,1,1,0,0,40,0
19,9,1,0,0,0,40,0
20,10,1,0,0,0,15,0
30,13,1,1,0,0,45,1
30,9,1,1,0,0,40,0
40,9,1,1,0,2051,60,0
20,13,1,1,4650,0,40,0
50,9,1,1,0,0,42,1
40,13,1,1,7298,0,45,1
40,13,1,1,0,0,40,1
40,9,1,0,0,0,40,0
20,10,1,0,0,0,20,0
30,9,1,1,0,0,40,0
60,7,1,1,9386,0,59,1
20,10,1,0,0,0,24,0
50,10,0,0,0,0,40,0
20,11,1,1,0,2377,45,0
20,11,1,0,0,0,15,0
40,10,0,0,0,0,40,0
30,10,1,1,2407,0,40,0
30,10,0,0,0,0,36,0
40,13,1,1,0,0,50,0
50,9,0,0,594,0,20,0
40,13,1,1,0,0,40,1
19,10,1,0,0,0,25,0
50,9,1,1,0,0,72,0
40,14,1,0,14084,0,50,1
20,11,1,1,0,0,40,0
17,8,1,1,0,0,20,0
40,13,1,0,0,0,40,1
50,9,1,1,7688,0,40,1
30,10,0,0,0,0,40,0
20,7,0,1,0,0,40,0
40,13,1,1,0,0,37,0
20,13,1,1,7688,0,40,1
20,13,1,1,0,0,20,0
50,6,1,1,0,0,40,0
20,9,1,1,0,0,50,0
30,9,1,1,0,0,40,0
20,11,1,1,0,0,38,0
50,9,1,1,0,0,40,1
30,13,1,0,0,0,45,0
40,9,1,0,0,0,40,1
30,9,0,1,0,0,40,0
30,9,1,0,0,0,18,0
50,9,1,0,0,0,38,1
30,9,1,1,0,0,40,0
50,16,1,1,0,0,70,1
50,13,1,1,0,0,55,1
30,6,1,0,0,0,42,0
30,10,1,1,0,0,40,0
20,10,1,0,0,0,30,0
40,13,1,0,0,0,50,0
30,9,1,1,0,0,40,0
20,10,1,0,0,0,38,0
30,3,1,1,0,0,32,0
30,9,1,1,0,0,55,0
30,11,1,0,0,0,24,1
50,9,1,1,0,0,38,0
20,11,1,1,0,0,56,0
30,10,1,0,0,0,40,0
30,14,1,1,0,0,40,0
40,13,1,1,0,0,50,1
50,10,1,1,0,0,40,0
40,10,1,1,0,0,40,0
20,11,1,0,0,1669,42,0
40,11,1,1,0,0,50,1
40,10,1,1,0,0,60,0
40,13,0,0,0,0,55,1
40,10,0,0,0,0,38,0
60,9,1,1,0,2352,50,0
18,8,1,1,0,0,30,0
50,9,1,1,0,0,16,0
20,9,1,0,1055,0,40,0
40,11,1,1,0,0,50,1
40,13,1,1,0,0,40,0
18,10,1,1,0,0,33,0
20,9,1,0,2463,0,40,0
60,9,1,1,0,0,60,1
20,10,0,1,0,0,20,0
60,9,1,1,0,0,40,0
20,9,0,1,0,0,40,0
40,14,1,1,0,0,35,1
40,13,1,1,0,1902,40,1
40,12,1,1,0,0,40,0
20,9,0,1,0,1721,30,0
60,7,1,1,0,0,20,0
30,9,1,0,0,0,38,0
17,7,1,0,0,0,20,0
30,9,1,1,5178,0,48,1
50,14,1,1,0,0,40,0
30,13,1,1,3103,0,47,1
60,13,1,1,0,0,40,1
20,9,1,1,0,0,30,0
30,9,1,0,0,0,36,0
20,10,0,1,0,0,40,0
40,10,1,1,0,0,45,0
20,10,1,1,0,0,40,0
17,6,1,1,0,0,20,0
40,9,1,0,0,0,75,0
40,11,1,0,0,0,60,0
50,10,1,1,0,0,50,1
60,9,1,1,0,0,45,0
40,9,1,1,0,0,50,1
40,11,1,1,0,0,40,0
30,14,1,0,0,0,46,0
20,11,1,1,0,0,40,0
30,9,1,0,0,0,40,0
30,9,1,1,0,1672,60,0
50,9,1,1,0,653,42,1
60,9,1,0,0,0,40,0
30,9,1,0,0,0,24,0
40,10,1,1,0,0,25,0
20,13,1,1,0,0,40,0
40,7,1,1,0,0,15,0
50,10,1,0,4386,0,40,1
20,10,1,1,0,0,40,0
70,9,1,1,0,0,40,0
70,7,1,0,0,0,24,0
50,9,1,1,0,0,40,0
20,9,1,1,0,0,40,0
40,13,1,0,0,0,50,1
20,13,1,1,0,0,50,0
60,9,1,1,0,0,6,0
17,7,1,1,0,0,20,0
30,10,1,1,0,0,50,0
50,10,1,1,0,0,40,1
60,13,1,0,0,0,48,0
50,9,1,1,4386,0,40,1
40,10,1,1,0,0,40,0
40,9,1,0,0,0,50,0
30,13,1,1,0,0,45,1
30,13,1,1,0,0,40,0
30,9,1,1,0,0,18,0
60,14,1,0,0,0,40,1
20,11,1,0,0,0,55,0
40,9,1,1,0,0,50,0
20,13,1,0,0,0,40,0
40,16,1,1,0,0,50,1
30,9,1,1,0,0,40,0
30,9,1,0,0,0,40,0
50,9,1,1,0,0,40,1
30,13,1,0,0,0,40,0
40,13,1,0,0,0,56,1
18,7,1,0,0,0,20,0
40,9,1,1,0,0,40,0
40,7,1,1,0,0,50,0
